Time(Seconds),Length(Seconds),Label(string),Confidence(double)
0.8,0.1,cough,0.8174324503627571
1.5,0.1,cough,0.9852759718873916
1.6,0.1,cough,0.6847234793775838
1.7000000000000002,0.1,cough,0.9597435257796281
1.8,0.1,cough,0.9008866428121173
2.0,0.1,cough,0.967308764414552
2.1,0.1,cough,0.9829861008836472
2.2,0.1,cough,0.6676655938460011
2.3000000000000003,0.1,cough,0.8652524546980784
3.4000000000000004,0.1,cough,0.9381154613182655
3.5,0.1,cough,0.9888271248618119
3.6,0.1,cough,0.791607833402115
